Unnamed: 0,label,wav_path
0,american,TESTSET/wav/AESRC2020-TESTSET-02823.wav
1,american,TESTSET/wav/AESRC2020-TESTSET-17009.wav
2,american,TESTSET/wav/AESRC2020-TESTSET-17833.wav
3,american,TESTSET/wav/AESRC2020-TESTSET-02348.wav
4,american,TESTSET/wav/AESRC2020-TESTSET-07225.wav
5,american,TESTSET/wav/AESRC2020-TESTSET-09295.wav
6,american,TESTSET/wav/AESRC2020-TESTSET-13530.wav
7,american,TESTSET/wav/AESRC2020-TESTSET-12180.wav
8,american,TESTSET/wav/AESRC2020-TESTSET-16902.wav
9,american,TESTSET/wav/AESRC2020-TESTSET-06485.wav
10,american,TESTSET/wav/AESRC2020-TESTSET-14410.wav
11,american,TESTSET/wav/AESRC2020-TESTSET-08187.wav
12,american,TESTSET/wav/AESRC2020-TESTSET-14200.wav
13,american,TESTSET/wav/AESRC2020-TESTSET-00236.wav
14,american,TESTSET/wav/AESRC2020-TESTSET-13728.wav
15,american,TESTSET/wav/AESRC2020-TESTSET-14925.wav
16,american,TESTSET/wav/AESRC2020-TESTSET-08123.wav
17,american,TESTSET/wav/AESRC2020-TESTSET-15427.wav
18,american,TESTSET/wav/AESRC2020-TESTSET-11650.wav
19,american,TESTSET/wav/AESRC2020-TESTSET-13981.wav
20,american,TESTSET/wav/AESRC2020-TESTSET-08743.wav
21,american,TESTSET/wav/AESRC2020-TESTSET-15334.wav
22,american,TESTSET/wav/AESRC2020-TESTSET-07793.wav
23,american,TESTSET/wav/AESRC2020-TESTSET-14053.wav
24,american,TESTSET/wav/AESRC2020-TESTSET-12012.wav
25,american,TESTSET/wav/AESRC2020-TESTSET-06434.wav
26,american,TESTSET/wav/AESRC2020-TESTSET-17832.wav
27,american,TESTSET/wav/AESRC2020-TESTSET-11437.wav
28,american,TESTSET/wav/AESRC2020-TESTSET-10191.wav
29,american,TESTSET/wav/AESRC2020-TESTSET-15976.wav
30,american,TESTSET/wav/AESRC2020-TESTSET-17167.wav
31,american,TESTSET/wav/AESRC2020-TESTSET-11896.wav
32,american,TESTSET/wav/AESRC2020-TESTSET-02826.wav
33,american,TESTSET/wav/AESRC2020-TESTSET-05405.wav
34,american,TESTSET/wav/AESRC2020-TESTSET-17437.wav
35,american,TESTSET/wav/AESRC2020-TESTSET-12772.wav
36,american,TESTSET/wav/AESRC2020-TESTSET-08004.wav
37,american,TESTSET/wav/AESRC2020-TESTSET-14835.wav
38,american,TESTSET/wav/AESRC2020-TESTSET-12114.wav
39,american,TESTSET/wav/AESRC2020-TESTSET-14300.wav
40,american,TESTSET/wav/AESRC2020-TESTSET-00438.wav
41,american,TESTSET/wav/AESRC2020-TESTSET-15957.wav
42,american,TESTSET/wav/AESRC2020-TESTSET-11798.wav
43,american,TESTSET/wav/AESRC2020-TESTSET-17169.wav
44,american,TESTSET/wav/AESRC2020-TESTSET-10090.wav
45,american,TESTSET/wav/AESRC2020-TESTSET-07497.wav
46,american,TESTSET/wav/AESRC2020-TESTSET-01805.wav
47,american,TESTSET/wav/AESRC2020-TESTSET-04974.wav
48,american,TESTSET/wav/AESRC2020-TESTSET-14056.wav
49,american,TESTSET/wav/AESRC2020-TESTSET-16554.wav
50,american,TESTSET/wav/AESRC2020-TESTSET-07178.wav
51,american,TESTSET/wav/AESRC2020-TESTSET-00819.wav
52,american,TESTSET/wav/AESRC2020-TESTSET-08869.wav
53,american,TESTSET/wav/AESRC2020-TESTSET-16832.wav
54,american,TESTSET/wav/AESRC2020-TESTSET-00945.wav
55,american,TESTSET/wav/AESRC2020-TESTSET-16713.wav
56,american,TESTSET/wav/AESRC2020-TESTSET-16042.wav
57,american,TESTSET/wav/AESRC2020-TESTSET-14139.wav
58,american,TESTSET/wav/AESRC2020-TESTSET-01324.wav
59,american,TESTSET/wav/AESRC2020-TESTSET-09140.wav
